mer_id,ratings,no_of_ratings,is_valid
1,4,"1,893",1
2,4.2,"10,388",1
3,,,0
4,3,2,1
5,4.3,"3,415",1
6,4.5,10,1
7,4.1,531,1
8,4.6,5,1
9,3.8,"1,721",1
10,4.1,"45,022",1
11,4.1,"1,087",1
12,3.8,"5,201",1
13,3.9,202,1
14,4.1,"2,789",1
15,3.8,838,1
16,3.4,920,1
17,3.4,"5,967",1
18,4.3,942,1
19,3.8,"3,663",1
20,4,281,1
21,3.8,158,1
22,4.1,991,1
23,4,"5,457",1
24,,,1
25,4.2,"4,807",1
26,3.9,844,1
27,3.9,"1,483",1
28,4,"2,046",1
29,3.3,9,1
30,3.9,213,1
31,4.1,"3,136",1
32,3.8,122,1
33,3.8,"3,982",1
34,3.6,"1,104",1
35,4,"8,401",0
36,3.5,783,1
37,4,"7,399",1
38,3.6,"2,672",1
39,3.8,"1,124",1
40,4,"13,378",1
41,4.1,"6,924",1
42,3.9,"1,483",1
43,3.7,42,1
44,4,389,1
45,4.1,"1,508",1
46,4,738,1
47,3.9,"1,183",1
48,4.1,163,1
49,3.7,"2,288",1
50,3,22,1
51,4.1,14,1
52,4.4,3,1
53,3.3,493,1
54,4.1,288,1
55,4.1,152,1
56,3.5,123,1
57,3.6,62,1
58,3.4,160,1
59,3.7,"8,479",1
60,4,"1,984",1
61,3.3,20,1
62,2.7,104,1
63,3.8,"2,983",1
64,4.2,"157,476",1
65,4.1,"2,122",1
66,3,34,1
67,3.9,753,1
68,4.3,59,1
69,2,1,1
70,4,236,1
71,3.8,224,1
72,3.8,"2,272",1
73,4,80,1
74,4.2,45,1
75,3.1,124,1
76,3.3,485,1
77,3.1,"1,046",1
78,3.9,"24,171",1
79,3.9,"1,207",1
80,,,1
81,3.7,307,1
82,4.6,6,1
83,4,504,1
84,3.5,520,1
85,4.4,870,1
86,4.2,"1,143",1
87,4,1,1
88,3.2,879,1
89,3.4,323,1
90,3.6,10,1
91,4.1,"2,995",1
92,3.8,83,1
93,3.7,131,1
94,4,"1,474",1
95,3.7,186,1
96,3.9,72,1
97,3.2,568,0
98,3.7,9,1
99,4.1,353,1
100,4.3,18,1
101,5,1,1
102,4.3,"5,068",1
103,4,"1,090",1
104,4,98,1
105,3.7,42,1
106,4,"29,567",1
107,3.1,259,1
108,4,636,1
109,3.9,74,1
110,3.9,153,1
111,4.7,32,1
112,3.4,127,1
113,3.5,168,1
114,4.1,"8,884",1
115,3.8,"1,828",1
116,,,1
117,3.6,22,1
118,4.3,132,1
119,4.2,"4,084",1
120,3.9,324,1
121,3.8,391,1
122,3.7,465,1
123,4.4,"4,853",1
124,4,77,1
125,3.4,120,1
126,3.6,392,1
127,3.4,414,1
128,3.7,"1,455",1
129,5,1,1
130,2.7,5,1
131,3.3,30,1
132,,,1
133,4.2,"13,275",1
134,3.6,"3,634",1
135,3.4,"1,298",1
136,4.1,457,1
137,4.6,7,0
138,3.8,546,1
139,3.7,590,1
140,3.7,562,1
141,4,896,1
142,4.1,"2,350",1
143,3.3,4,1
144,3.7,985,1
145,4,161,1
146,3.8,"2,109",1
147,3.1,170,1
148,4.2,"1,165",1
149,4.2,"2,804",1
150,4.3,443,1
151,3.9,143,1
152,4.2,"8,636",1
153,3.1,31,1
154,3.8,"2,033",1
155,4.6,6,1
156,3.7,"21,150",1
157,,,1
158,4.2,32,0
159,3.9,16,1
160,3.7,774,1
161,4.2,8,1
162,4.1,"1,627",1
163,4.6,"20,558",1
164,1,1,1
165,,,1
166,4.3,8,1
167,3.5,"1,037",1
168,3.6,95,1
169,3.8,988,1
170,4.1,"1,194",1
171,3.6,5,1
172,4.2,164,1
173,3.6,14,1
174,3.6,"1,245",1
175,3.8,81,1
176,3.4,262,1
177,3.4,486,1
178,3.2,956,1
179,3.3,3,1
180,3.6,26,1
181,3.5,"1,686",1
182,4,"1,197",1
183,3.9,300,1
184,3.8,"2,740",1
185,3.8,200,1
186,4,"1,907",0
187,3.1,146,1
188,3.4,"1,198",1
189,3.9,505,1
190,3.8,351,1
191,3.5,477,1
192,3.2,78,1
193,3.4,"3,539",1
194,3.7,"1,158",0
195,4,23,1
196,3.3,3,1
197,3.7,143,1
198,4.4,6,1
199,3.6,"2,953",1
200,3.6,435,1
201,3.6,"1,381",1
202,3.2,552,1
203,3.7,236,1
204,4.5,53,1
205,3.4,569,1
206,4,7,1
207,3.9,46,1
208,3.8,22,1
209,3.9,757,1
210,3.2,270,1
211,3,"2,926",1
212,3.8,446,1
213,3.3,5,1
214,3.8,"1,984",1
215,3.3,858,1
216,5,8,1
217,3.7,"1,638",1
218,4,43,1
219,3.3,"1,435",1
220,3.5,82,1
221,4.2,101,1
222,4.1,919,1
223,4.4,15,1
224,4.4,340,1
225,3.8,"6,009",1
226,2.8,13,1
227,3.9,726,1
228,3.5,4,1
229,4,491,1
230,3.9,411,1
231,4.2,19,1
232,,,1
233,4,499,1
234,3.7,434,1
235,,,1
236,4.1,177,1
237,5,1,1
238,3.4,226,1
239,4.2,117,1
240,1.9,15,1
241,4,32,1
242,4.7,4,1
243,3.7,217,1
244,4.2,"1,260",1
245,1,3,1
246,3.9,6,1
247,4.1,401,1
248,4.2,9,1
249,3.5,27,1
250,4.1,106,1
251,3.8,399,1
252,3.9,249,1
253,3.9,620,1
254,3.7,913,1
255,3.8,183,1
256,3.8,99,1
257,4.1,873,1
258,3.5,201,1
259,5,1,1
260,4.6,3,1
261,,,1
262,3.3,3,1
263,3.9,47,1
264,3.5,27,1
265,4.1,266,1
266,3.8,8,1
267,3.4,5,1
268,3.5,101,0
269,3.9,"4,243",1
270,4.5,"1,633",1
271,5,1,0
272,4.5,2,1
273,3.4,732,1
274,3.9,5,1
275,3.8,88,1
276,4.2,79,1
277,4,297,1
278,3.7,62,1
279,3.5,210,1
280,4.1,802,1
281,3.4,"1,079",1
282,4.3,89,1
283,3.6,717,1
284,,,1
285,4,413,1
286,,,1
287,4.3,48,1
288,4.1,137,1
289,,,1
290,3.9,993,1
291,4,404,1
292,3.9,"1,173",1
293,3.5,95,1
294,4,"1,858",1
295,4,288,1
296,3.9,386,1
297,5,2,1
298,4.2,136,1
299,4.2,53,0
300,5,1,1
301,3.6,"1,071",1
302,3.6,15,1
303,4,298,1
304,3.5,46,1
305,2.9,52,1
306,3.3,504,1
307,3.6,177,1
308,4,182,1
309,3.7,523,1
310,4,846,1
311,3.5,11,1
312,4.1,646,1
313,4.1,"3,839",1
314,4,26,1
315,3.5,"2,117",1
316,4.5,107,1
317,4,853,1
318,4,"3,239",1
319,3.1,425,1
320,4.1,11,1
321,4,12,1
322,4.1,"5,536",1
323,3.9,516,1
324,3.2,119,0
325,3.3,"1,431",1
326,4.3,169,1
327,,,0
328,3.5,2,1
329,3.9,375,1
330,4.2,353,0
331,3.8,107,1
332,,,1
333,3.9,204,1
334,3.8,939,1
335,4.1,19,1
336,2.4,24,1
337,4,418,1
338,3.7,339,1
339,3.6,42,1
340,3.7,83,1
341,4.2,"10,834",1
342,3.8,"8,943",1
343,3.7,21,1
344,4.2,6,1
345,4.1,203,1
346,3.2,18,1
347,,,1
348,3.7,10,1
349,,,1
350,3.6,98,1
351,4.3,337,1
352,1,2,1
353,3.4,60,1
354,4,120,1
355,3.5,"1,547",1
356,1,1,1
357,3.8,57,1
358,3.8,4,1
359,3.8,83,1
360,3.8,47,1
361,4,"4,974",1
362,4,504,1
363,4.2,935,1
364,3.7,200,1
365,4.3,25,1
366,3.8,"2,930",1
367,3.8,"3,141",1
368,4,"2,831",1
369,3.9,"6,335",1
370,3.9,"1,981",1
371,4,349,0
372,3.7,"5,595",1
373,3.8,"3,744",1
374,3.9,595,1
375,3.8,"5,604",1
376,3.7,"6,744",0
377,4,"4,026",1
378,3.8,"5,849",1
379,3.1,29,1
380,3.5,"1,331",1
381,3.7,"4,383",1
382,3.8,"1,624",1
383,3.8,"1,738",1
384,3.9,3,1
385,3.4,19,1
386,3.4,109,1
387,4,"1,707",1
388,3.7,575,1
389,3.9,193,1
390,3.9,"5,708",1
391,3.6,566,1
392,3.8,"2,755",0
393,3.5,332,1
394,3.4,394,0
395,3.8,794,1
396,3.9,124,1
397,3.8,367,1
398,4.1,"3,560",1
399,3.8,"1,989",1
400,3.8,666,1
401,3.8,5,1
402,4.1,379,1
403,4.4,"1,971",1
404,3.9,158,1
405,3.3,41,1
406,3.8,863,1
407,3,3,1
408,4.2,872,1
409,3.9,"1,138",1
410,3.3,7,1
411,4,65,1
412,3.7,35,1
413,3.7,"1,788",1
414,3.9,"1,798",1
415,4.4,73,1
416,3.9,257,1
417,4,"2,371",1
418,,,1
419,3.9,"1,750",1
420,3.7,270,1
421,3.8,"1,686",1
422,,,1
423,3.9,98,1
424,3.6,"1,931",1
425,3.8,"1,604",1
426,3.6,"5,362",1
427,3.3,21,1
428,3.7,"2,282",1
429,3.5,"1,766",1
430,,,1
431,3.4,6,1
432,3.9,47,1
433,3.9,"1,499",1
434,3.5,13,1
435,3.7,"1,657",1
436,3.9,271,1
437,3.9,352,0
438,4.1,801,1
439,4,20,1
440,3.8,87,1
441,4.4,3,1
442,3.4,382,1
443,3.5,685,1
444,3.7,265,1
445,3.9,466,1
446,3.7,207,1
447,4,80,1
448,3.9,"1,172",1
