id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
1,Sparx mens Sd9039g Sneakers,1,7,https://m.media-amazon.com/images/I/51e48JV2GfL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Casual-Stripped-Sneakers-White/dp/B0B4KF6LFM/ref=sr_1_5?qid=1679148619&s=shoes&sr=1-5,4,"1,893",?499,?999
2,Sparx Mens Sm-439 Sneaker,1,7,https://m.media-amazon.com/images/I/71gVtJPjZZL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-439-White-Casual-Shoes/dp/B07Y5BKQ5R/ref=sr_1_6?qid=1679148619&s=shoes&sr=1-6,4.2,"10,388",?594,?699
3,crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M8W10,1,7,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0BQHS8L8Z/ref=sr_1_7?qid=1679148619&s=shoes&sr=1-7,,,"?3,100","?4,495"
4,crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M9W11,1,7,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0BQHT287T/ref=sr_1_8?qid=1679148619&s=shoes&sr=1-8,3,2,"?2,377","?4,495"
5,crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),1,7,https://m.media-amazon.com/images/I/712Brp0hwfL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Bayaband-Pepper-Clogs-9-205089-4CC/dp/B0819RC5HR/ref=sr_1_9?qid=1679148619&s=shoes&sr=1-9,4.3,"3,415","?1,747","?3,495"
6,crocs Bayaband Unisex-Adult SLATEGREY/LIMEPUNCH_N Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-0GX),1,7,https://m.media-amazon.com/images/I/71Va1SsE3rL._AC_UL320_.jpg,https://www.amazon.in/crocs-Bayaband-Unisex-Adult-SLATEGREY-LIMEPUNCH_N/dp/B0BQHW5RWT/ref=sr_1_10?qid=1679148619&s=shoes&sr=1-10,4.5,10,"?2,271","?4,495"
7,crocs unisex-adult Bayaband Clog SLATE GREY/LIME PUNCH Clog - 6 UK Men/ 7 UK Women (M7W9) (205089-0GX),1,7,https://m.media-amazon.com/images/I/61LCRvTH7BL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0977472N7/ref=sr_1_11?qid=1679148619&s=shoes&sr=1-11,4.1,531,"?1,922","?3,495"
8,crocs unisex-adult Bayaband Clog,1,7,https://m.media-amazon.com/images/I/61A0JAzTUOL._AC_UL320_.jpg,https://www.amazon.in/crocs-Bayaband-Unisex-Adult-White-Navy_N/dp/B0BQHWCY6T/ref=sr_1_12?qid=1679148619&s=shoes&sr=1-12,4.6,5,"?1,747","?4,495"
9,"BATA Mens Boss-Slick Formal Shoes, (8516051), Black",1,7,https://m.media-amazon.com/images/I/71DN-vAkLoL._AC_UL320_.jpg,https://www.amazon.in/BATA-BOSS-Slick-Black-Uniform-8516051/dp/B0987RC4PM/ref=sr_1_13?qid=1679148619&s=shoes&sr=1-13,3.8,"1,721",?593,"?1,099"
10,Sparx Mens Sd0323g Sneakers,1,7,https://m.media-amazon.com/images/I/51g6S2XoAcL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Sneakers-9-India-43-33-SD0323G/dp/B077MZ785Q/ref=sr_1_15?qid=1679148619&s=shoes&sr=1-15,4.1,"45,022",?629,?899
11,Sparx Mens Sd0734g Sneaker,1,7,https://m.media-amazon.com/images/I/61XKno+nU4L._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-734-White-Casual-SD0734GWHGY0009/dp/B09Y243HBS/ref=sr_1_16?qid=1679148619&s=shoes&sr=1-16,4.1,"1,087",?679,?849
12,crocs Unisex-Adult Literide 360 Clog Tpk Clog,1,7,https://m.media-amazon.com/images/I/71SLXdbetVL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-LiteRide-Clog-Black/dp/B0B9C7HLGY/ref=sr_1_18?qid=1679148619&s=shoes&sr=1-18,3.8,"5,201","?3,477","?5,995"
13,Hush Puppies Mens Aaron Slip on Sneaker,1,7,https://m.media-amazon.com/images/I/719nACln0RL._AC_UL320_.jpg,https://www.amazon.in/Hush-Puppies-Aaron-Uniform-8556473/dp/B09WDY7RN7/ref=sr_1_19?qid=1679148619&s=shoes&sr=1-19,3.9,202,"?3,109","?3,299"
14,US Polo Association Men's Panal Sneakers,1,7,https://m.media-amazon.com/images/I/71Qu22EbOTL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Assn-Sneakers-8-2531918312/dp/B07VKLZN1T/ref=sr_1_27?qid=1679148619&s=shoes&sr=1-27,4.1,"2,789","?1,799","?2,999"
15,Crocs Literide Men/ UK Women,1,7,https://m.media-amazon.com/images/I/71XsVyh3c3L._AC_UL320_.jpg,https://www.amazon.in/crocs-LiteRide-Black-Slate-Clogs/dp/B08CD6X3VW/ref=sr_1_30?qid=1679148619&s=shoes&sr=1-30,3.8,838,"?2,397","?4,795"
16,crocs unisex-child Bayaband Clog Clog,1,7,https://m.media-amazon.com/images/I/71et26STNFL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-207018-0GX/dp/B09773YYJ4/ref=sr_1_31?qid=1679148619&s=shoes&sr=1-31,3.4,920,"?1,397","?2,995"
17,"Kraasa Casual Lace Up Sneaker, Men Casual Shoes",1,7,https://m.media-amazon.com/images/I/61q9kJgxAHL._AC_UL320_.jpg,https://www.amazon.in/Kraasa-Casual-Sneaker-Shoes-White/dp/B07VRDC8FB/ref=sr_1_32?qid=1679148619&s=shoes&sr=1-32,3.4,"5,967",?449,?999
18,crocs Unisex Adult Bayaband Clog,1,7,https://m.media-amazon.com/images/I/712Brp0hwfL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Bayaband-Pepper-Clogs-11-205089-4CC/dp/B0819RM7N6/ref=sr_1_35?qid=1679148619&s=shoes&sr=1-35,4.3,942,"?1,817","?3,495"
19,US Polo Men's Clarkin Sneakers,1,7,https://m.media-amazon.com/images/I/61UvHy3ovVL._AC_UL320_.jpg,https://www.amazon.in/U-S-Polo-Assn-Clarkin-Sneakers-8-2531910312/dp/B07PTBCC99/ref=sr_1_37?qid=1679148619&s=shoes&sr=1-37,3.8,"3,663","?1,499","?2,999"
20,Puma Mens Cliff Idp Low Boot,1,7,https://m.media-amazon.com/images/I/71P6Ez1pDeL._AC_UL320_.jpg,https://www.amazon.in/Puma-Cliff-Casual-Shoe-9-38718608/dp/B09CH5RMFR/ref=sr_1_39?qid=1679148619&s=shoes&sr=1-39,4,281,"?1,709","?3,499"
21,BATA mens Jazz Beige Sneaker - 8 UK (8598188),1,7,https://m.media-amazon.com/images/I/91yMrhgxGYL._AC_UL320_.jpg,https://www.amazon.in/BATA-Beige-Canvas-Loafers-8598088/dp/B00SWEF51A/ref=sr_1_40?qid=1679148619&s=shoes&sr=1-40,3.8,158,?319,?499
22,Sparx mens Sd0439g White Sneaker 6 UK SD0439G),1,7,https://m.media-amazon.com/images/I/6194z5l7q1L._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-439-White-Casual-Shoes/dp/B07Y58VTWZ/ref=sr_1_41?qid=1679148619&s=shoes&sr=1-41,4.1,991,?594,?699
23,URJO Mens Men_Skipper Clogs,1,7,https://m.media-amazon.com/images/I/715ZhUpHc4L._AC_UL320_.jpg,https://www.amazon.in/Urjo-Carbon-Clogs-UK-Men_Skipper/dp/B08HHZY58X/ref=sr_1_42?qid=1679148619&s=shoes&sr=1-42,4,"5,457",?699.02,"?1,799"
24,crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M7W9,1,7,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0BQHV4Q4R/ref=sr_1_43?qid=1679148619&s=shoes&sr=1-43,,,"?2,754","?4,495"
25,Sparx Men's Running Shoes,1,7,https://m.media-amazon.com/images/I/71X8gXn3VXL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-657-Golden-Running-SX0657GBKGO0008/dp/B08MCT7JTR/ref=sr_1_44?qid=1679148619&s=shoes&sr=1-44,4.2,"4,807","?1,299","?1,649"
26,Power Mens Lionel Casual Shoes,1,7,https://m.media-amazon.com/images/I/81g1MTm9fpL._AC_UL320_.jpg,https://www.amazon.in/Power-Lionel-Running-Shoes-10-8396117/dp/B07S8NN8B8/ref=sr_1_45?qid=1679148619&s=shoes&sr=1-45,3.9,844,?440,?999
27,crocs Mens Bogota Sandal,1,7,https://m.media-amazon.com/images/I/71xF3I3Df9L._AC_UL320_.jpg,https://www.amazon.in/crocs-Mens-Bogota-Chocolate-207430-200/dp/B0963ZVXY7/ref=sr_1_46?qid=1679148619&s=shoes&sr=1-46,3.9,"1,483","?2,197","?3,995"
28,crocs Unisex-Adult Literide Clog Clog,1,7,https://m.media-amazon.com/images/I/71hU5OqDITL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Literide-Pepper-Clogs-8-204592-4CC/dp/B0819SJM8S/ref=sr_1_47?qid=1679148619&s=shoes&sr=1-47,4,"2,046","?3,596","?4,795"
